what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769070793124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769070967876
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1769070969954
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769070973141
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769070994913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1769070994939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769071107233
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769071503839
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769071508411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769072122862
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769072258512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769072277624
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769072456493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769072460904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769072813066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769072831131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073066647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1769073068813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769073069330
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073071456
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073123092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073139923
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073145127
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769073149012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073170297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073191753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073192022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073194374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073195043
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073196765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073205865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073221297
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1769073222372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769073225567
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769073239275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1769073242224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073243650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073269568
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1769073269590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1769073276793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073281761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073293309
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073303339
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073656411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073960016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769073963745
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074008100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074056792
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074126845
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074130490
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074166855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074170102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074178759
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074263950
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074284701
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1769074290864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074295794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074477012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074552169
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074555093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074579213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769074581828
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1769074581835
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769075177526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769075184082
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769075193500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769076411153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769089111109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1769089115876
